t,SINR
10,31.4043994650278
10.005,14.513936014545
10.01,24.9616429440177
10.015,8.0222489954076
10.02,-1.17284842063717
10.025,15.5231222123283
10.03,4.95159078088378
10.035,-1.5578191578697
10.04,6.51855986194069
10.045,1.53761379593142
10.05,8.17167797679127
10.055,10.2766433483978
10.06,5.23861508714667
10.065,6.94529329182058
10.07,33.4138975208589
10.075,12.846976528542
10.08,15.5262076443896
10.085,18.2006352304359
10.09,9.92868546281446
10.095,6.1450730570769
10.1,11.6606366466606
10.105,26.4849673902151
10.11,6.87019703987429
10.115,3.59583820668692
10.12,14.0366443336422
10.125,11.4054781508545
10.13,4.53985197055403
10.135,-0.359207368734459
10.14,0.141929679318267
10.145,12.4338964267579
10.15,5.96981823622463
10.155,15.7422188387921
10.16,4.26673374634683
10.165,1.07887229947969
10.17,-1.64272002310101
10.175,8.62186176030963
10.18,-3.43317551100623
10.185,14.4063764874335
10.19,-1.74935869912579
10.195,-0.58629570213148
10.2,0.850226253411918
10.205,6.24715213338101
10.21,13.2002945959507
10.215,10.2681462379322
10.22,4.33412355485667
10.225,1.76709487440159
10.23,10.7878055996077
10.235,-4.50390876555075
10.24,20.1903868844988
10.245,0.224510846887085
10.25,1.94213793897077
10.255,0.795176159459224
10.26,-5.01545731666853
10.265,4.7789971536621
10.27,1.24413475969226
10.275,-3.45045085413531
10.28,1.48183483658759
10.285,0.0542986418373346
10.29,5.71596276141775
10.295,1.41936722912853
10.3,2.16596150817215
10.305,13.3857994342004
10.31,12.640542049939
10.315,-0.411528689979299
10.32,13.4378635693034
10.325,13.4635720728765
10.33,0.957608364824097
10.335,15.9973726319697
10.34,5.17531054759451
10.345,1.36920236161208
10.35,-1.21043025378108
10.355,20.6302300589011
10.36,11.9577196263804
10.365,-0.108458474955917
10.37,1.40809643028342
10.375,18.2082135369162
10.38,16.2685842618084
10.385,0.240255497269153
10.39,3.6636825714572
10.395,10.333114962002
10.4,2.21903022559423
10.405,-3.71226904333578
10.41,-5.65910789681762
10.415,9.25214102031437
10.42,18.807859764355
10.425,18.3246739596948
10.43,5.25269624691077
10.435,18.648463943894
10.44,-3.225929336088
10.445,7.99923621301811
10.45,0.158314874854916
10.455,6.71502536288091
10.46,-0.362490533573123
10.465,-2.92949389936143
10.47,-2.30530144799405
10.475,22.656103442128
10.48,23.4126768097934
10.485,-2.56782369391922
10.49,14.2005572174967
10.495,6.59034453405799
10.5,-0.0353583048445003
10.505,1.95643923106665
10.51,-6.77807649704509
10.515,12.1547731713573
10.52,-4.57779732656387
10.525,-5.72346887442576
10.53,8.63852659874441
10.535,25.8904893790992
10.54,-1.50081560734153
10.545,-2.81939704070557
10.55,1.9193480595157
10.555,2.50346221064466
10.56,-0.786393647016368
10.565,5.85471004355026
10.57,13.8065713700435
10.575,2.4400893115023
10.58,-2.01954744078223
10.585,27.2202800406626
10.59,1.00638992711985
10.595,24.5756586206192
10.6,4.95813700300767
10.605,-0.62079000033436
10.61,-0.866889263575779
10.615,21.611938829123
10.62,2.83687146579911
10.625,5.5717724980268
10.63,3.15626683589982
10.635,8.50210365202864
10.64,12.2681736777357
10.645,-5.10541920075033
10.65,2.40018885432842
10.655,7.72615098630239
10.66,-3.13232380514881
10.665,-3.57903431881985
10.67,-0.96406186762664
10.675,32.9754599535329
10.68,-3.85570749739594
10.685,2.5942212488989
10.69,1.07430744729668
10.695,-0.668572006713504
10.7,11.5901877526857
10.705,5.43000567114638
10.71,18.0389734851816
10.715,20.9998984268363
10.72,0.470630243827074
10.725,17.4968559705071
10.73,15.2715694739022
10.735,15.0945475265608
10.74,10.6155186207013
10.745,13.4772777277531
10.75,2.48134127398531
10.755,7.75592508214228
10.76,11.8785381168536
10.765,9.24387377939379
10.77,-5.83268169295624
10.775,-7.20595085595815
10.78,20.1536051543182
10.785,-7.18171370268528
10.79,1.06173880780217
10.795,-1.81973778866793
10.8,6.50004374738609
10.805,18.9353665853862
10.81,25.0846287675204
10.815,0.170244990107712
10.82,-0.92651207778583
10.825,7.56625522459363
10.83,-2.93634552408411
10.835,21.9670540308217
10.84,14.7439152981787
10.845,-2.995187384199
10.85,22.7875265769872
10.855,5.45906217527455
10.86,12.1272855944935
10.865,1.34833411356586
10.87,0.95534603426259
10.875,0.073733878271554
10.88,3.43916835276802
10.885,0.0372100381026002
10.89,4.46451304877663
10.895,-0.131428529166016
10.9,-3.97460848368053
10.905,20.6206663408598
10.91,6.97806299514031
10.915,-0.699132058855433
10.92,24.6904107025284
10.925,0.411458758939283
10.93,8.65003194890181
10.935,7.71712703146704
10.94,6.07877981803671
10.945,-2.56127980523414
10.95,7.86098226958725
10.955,21.3520172064572
10.96,1.61416765076675
10.965,20.4482492584859
10.97,-2.7567947689549
10.975,0.170617015082335
10.98,23.2491210084175
10.985,16.5160057845798
10.99,13.6262130195687
10.995,17.7691717832291
11,8.55396909583845
11.005,7.41983937791365
11.01,16.6780254554478
11.015,-5.61663856804721
11.02,1.65604224365894
11.025,5.90185878621197
11.03,5.69100616430854
11.035,23.4181037472159
11.04,-1.59697308314654
11.045,16.120427486233
11.05,30.0463282903233
11.055,15.0258297390657
11.06,-2.70497894332834
11.065,4.73746142813615
11.07,-4.33946082717728
11.075,0.05252463740743
11.08,11.1592205598558
11.085,-5.59122704128705
11.09,-6.8688222025871
11.095,8.39870314418737
11.1,7.18856086775448
11.105,-2.50556585282374
11.11,-4.24168033339071
11.115,-1.18321022701497
11.12,-2.90840748984515
11.125,-0.258947787454019
11.13,8.47613333111981
11.135,-4.08898743424901
11.14,-5.77168899127992
11.145,24.2473891789315
11.15,-4.0995910651778
11.155,1.54281645287347
11.16,-3.5054729559997
11.165,19.0699516013332
11.17,14.669209142573
11.175,2.59234276163576
11.18,13.1946108087248
11.185,18.3857396472725
11.19,-1.87703152825701
11.195,2.06244098245106
11.2,10.3102334008536
11.205,-0.0764107961936915
11.21,3.31995942767898
11.215,0.123432065228897
11.22,2.04273352856761
11.225,5.21070615446983
11.23,4.50718556170398
11.235,6.6390029589671
11.24,4.89883317637968
11.245,10.1280423089374
11.25,-2.82523980710802
11.255,33.211617690302
11.26,12.6535210019044
11.265,20.9837039345141
11.27,-0.915048538791197
11.275,8.19458960256338
11.28,7.41735426671764
11.285,17.2453864068917
11.29,-0.635757717287831
11.295,3.66762995884244
11.3,11.4439618355312
11.305,-0.343144253491928
11.31,-6.12093225975232
11.315,3.47257019909836
11.32,-5.88406551804476
11.325,-4.1398594988829
11.33,0.01184730890742
11.335,-3.35552182615535
11.34,-8.16649818349644
11.345,2.63747844402202
11.35,-5.97828288890864
